i	j	kin	ibd0	ibd1	ibd2
{"s":"NA18501"}	{"s":"NA19210"}	-2.4635e-02	1.1324e+00	-1.6632e-01	3.3888e-02
{"s":"NA18501"}	{"s":"NA19211"}	-3.4446e-02	1.1718e+00	-2.0575e-01	3.3984e-02
{"s":"NA18501"}	{"s":"NA19221"}	4.1758e-03	9.8698e-01	9.3422e-03	3.6804e-03
{"s":"NA18501"}	{"s":"NA19222"}	1.6583e-02	9.3558e-01	6.2504e-02	1.9135e-03
{"s":"NA18501"}	{"s":"NA19223"}	-9.0099e-03	1.0640e+00	-9.1904e-02	2.7932e-02
{"s":"NA18501"}	{"s":"NA19238"}	-5.6688e-02	1.2316e+00	-2.3640e-01	4.8234e-03
{"s":"NA18501"}	{"s":"NA19239"}	-5.1049e-02	1.2341e+00	-2.6409e-01	2.9946e-02
{"s":"NA18501"}	{"s":"NA19240"}	-7.1330e-02	1.2937e+00	-3.0203e-01	8.3564e-03
{"s":"NA18502"}	{"s":"NA18503"}	-2.7375e-02	1.1129e+00	-1.1629e-01	3.3934e-03
{"s":"NA18502"}	{"s":"NA18504"}	-1.3992e-02	1.0580e+00	-5.9994e-02	2.0133e-03
{"s":"NA18502"}	{"s":"NA18505"}	-2.3531e-02	1.0910e+00	-8.7928e-02	-3.0980e-03
{"s":"NA18502"}	{"s":"NA18506"}	9.4257e-03	9.6324e-01	3.5820e-02	9.4131e-04
{"s":"NA18502"}	{"s":"NA18507"}	6.7560e-03	9.7733e-01	1.8326e-02	4.3492e-03
{"s":"NA18502"}	{"s":"NA18508"}	9.0262e-03	9.6608e-01	3.1740e-02	2.1822e-03
{"s":"NA18502"}	{"s":"NA18515"}	1.8254e-03	9.9148e-01	9.7420e-03	-1.2202e-03
{"s":"NA18502"}	{"s":"NA18516"}	-4.2361e-03	1.0220e+00	-2.7011e-02	5.0336e-03
{"s":"NA18502"}	{"s":"NA18517"}	6.5508e-03	9.7441e-01	2.4975e-02	6.1390e-04
{"s":"NA18502"}	{"s":"NA18521"}	9.1657e-03	9.6696e-01	2.9416e-02	3.6234e-03
{"s":"NA18502"}	{"s":"NA18522"}	2.6097e-02	8.9310e-01	1.0941e-01	-2.5094e-03
{"s":"NA18502"}	{"s":"NA18523"}	-8.4799e-03	1.0339e+00	-3.3932e-02	6.0123e-06
{"s":"NA18502"}	{"s":"NA18852"}	-1.3611e-03	1.0058e+00	-6.1172e-03	3.3639e-04
{"s":"NA18502"}	{"s":"NA18853"}	-1.2166e-02	1.0544e+00	-6.0045e-02	5.6913e-03
{"s":"NA18502"}	{"s":"NA18854"}	-1.0114e-02	1.0457e+00	-5.0861e-02	5.2019e-03
{"s":"NA18502"}	{"s":"NA18855"}	1.9201e-02	9.2630e-01	7.0598e-02	3.1022e-03
{"s":"NA18502"}	{"s":"NA18856"}	-1.6064e-02	1.0671e+00	-6.9999e-02	2.8707e-03
{"s":"NA18502"}	{"s":"NA18857"}	3.3419e-03	9.8738e-01	1.1864e-02	7.5151e-04
{"s":"NA18502"}	{"s":"NA18858"}	-9.0435e-03	1.0357e+00	-3.5305e-02	-4.3435e-04
{"s":"NA18502"}	{"s":"NA18859"}	1.0398e-02	9.6030e-01	3.7801e-02	1.8954e-03
{"s":"NA18502"}	{"s":"NA18860"}	-1.4830e-03	1.0084e+00	-1.0870e-02	2.4690e-03
{"s":"NA18502"}	{"s":"NA18861"}	6.2156e-03	9.8019e-01	1.4766e-02	5.0479e-03
{"s":"NA18502"}	{"s":"NA18862"}	-1.5093e-02	1.0619e+00	-6.3492e-02	1.5609e-03
{"s":"NA18502"}	{"s":"NA18863"}	-3.8826e-03	1.0134e+00	-1.1176e-02	-2.1771e-03
{"s":"NA18502"}	{"s":"NA18870"}	-2.1669e-02	1.0879e+00	-8.9116e-02	1.2200e-03
{"s":"NA18502"}	{"s":"NA18871"}	1.4655e-02	9.4399e-01	5.3397e-02	2.6105e-03
{"s":"NA18502"}	{"s":"NA18872"}	-7.9560e-03	1.0300e+00	-2.8142e-02	-1.8407e-03
{"s":"NA18502"}	{"s":"NA18912"}	-8.2720e-03	1.0354e+00	-3.7722e-02	2.3169e-03
{"s":"NA18502"}	{"s":"NA18913"}	-4.5033e-02	1.1854e+00	-1.9074e-01	5.3042e-03
{"s":"NA18502"}	{"s":"NA18914"}	-3.4457e-02	1.1420e+00	-1.4626e-01	4.2180e-03
{"s":"NA18502"}	{"s":"NA19092"}	1.0580e-02	9.5903e-01	3.9617e-02	1.3507e-03
{"s":"NA18502"}	{"s":"NA19093"}	8.1334e-03	9.6996e-01	2.7550e-02	2.4916e-03
{"s":"NA18502"}	{"s":"NA19094"}	1.4837e-02	9.4072e-01	5.9212e-02	6.8896e-05
{"s":"NA18502"}	{"s":"NA19098"}	1.4201e-02	9.4398e-01	5.5228e-02	7.8701e-04
{"s":"NA18502"}	{"s":"NA19099"}	4.0148e-02	8.4404e-01	1.5132e-01	4.6360e-03
{"s":"NA18502"}	{"s":"NA19100"}	3.7299e-02	8.5327e-01	1.4427e-01	2.4605e-03
{"s":"NA18502"}	{"s":"NA19101"}	1.8771e-02	9.2764e-01	6.9642e-02	2.7219e-03
{"s":"NA18502"}	{"s":"NA19102"}	2.9073e-02	8.8631e-01	1.1109e-01	2.6014e-03
{"s":"NA18502"}	{"s":"NA19103"}	2.7934e-02	8.9334e-01	1.0159e-01	5.0745e-03
{"s":"NA18502"}	{"s":"NA19116"}	-3.4645e-03	1.0205e+00	-2.7141e-02	6.6413e-03
{"s":"NA18502"}	{"s":"NA19119"}	2.3388e-03	9.8893e-01	1.2783e-02	-1.7138e-03
{"s":"NA18502"}	{"s":"NA19120"}	-4.3311e-03	1.0188e+00	-2.0226e-02	1.4505e-03
